Month,Revenue (total income),Cost of sales (interest expense),Opex Personnel,Opex Establishment,Opex Administrative,Opex Impairment,Net Profit
2023-01,4134000000,1955700000,581542500,264337500,211470000,126000000,756162000
2023-02,4160000000,1968000000,585200000,266000000,212800000,126000000,761520000
2023-03,4316000000,2041800000,607145000,275975000,220780000,162000000,766308000
2023-04,4264000000,2017200000,599830000,272650000,218120000,144000000,769272000
2023-05,4290000000,2029500000,603487500,274312500,219450000,144000000,774630000
2023-06,4368000000,2066400000,614460000,279300000,223440000,162000000,777024000
2023-07,4342000000,2054100000,610802500,277637500,222110000,144000000,785346000
2023-08,4368000000,2066400000,614460000,279300000,223440000,144000000,790704000
2023-09,4420000000,2091000000,621775000,282625000,226100000,162000000,787740000
2023-10,4394000000,2078700000,618117500,280962500,224770000,144000000,796062000
2023-11,4446000000,2103300000,625432500,284287500,227430000,162000000,793098000
2023-12,4498000000,2127900000,632747500,287612500,230090000,180000000,790134000
2024-01,4332750000,2027250000,607777500,276262500,221010000,126000000,816582000
2024-02,4360000000,2040000000,611600000,278000000,222400000,126000000,822320000
2024-03,4523500000,2116500000,634535000,288425000,230740000,162000000,829388000
2024-04,4469000000,2091000000,626890000,284950000,227960000,144000000,831592000
2024-05,4496250000,2103750000,630712500,286687500,229350000,144000000,837330000
2024-06,4578000000,2142000000,642180000,291900000,233520000,162000000,840864000
2024-07,4550750000,2129250000,638357500,290162500,232130000,144000000,848806000
2024-08,4578000000,2142000000,642180000,291900000,233520000,144000000,854544000
2024-09,4632500000,2167500000,649825000,295375000,236300000,162000000,852340000
2024-10,4605250000,2154750000,646002500,293637500,234910000,144000000,860282000
2024-11,4659750000,2180250000,653647500,297112500,237690000,162000000,858078000
2024-12,4714250000,2205750000,661292500,300587500,240470000,180000000,855874000
