Month,Revenue,Units,COGS,Opex Store Operations,Opex Distribution,Opex Marketing,Opex Admin,Net Profit
2023-01,397440000,15585882,217002240,67564800,17884800,6359040,27820800,46214323
2023-02,367200000,14400000,200491200,62424000,16524000,5875200,25704000,42698016
2023-03,345600000,13552941,188697600,58752000,15552000,5529600,24192000,40186368
2023-04,367200000,14400000,200491200,62424000,16524000,5875200,25704000,42698016
2023-05,336960000,13214118,183980160,57283200,15163200,5391360,23587200,39181709
2023-06,345600000,13552941,188697600,58752000,15552000,5529600,24192000,40186368
2023-07,336960000,13214118,183980160,57283200,15163200,5391360,23587200,39181709
2023-08,345600000,13552941,188697600,58752000,15552000,5529600,24192000,40186368
2023-09,336960000,13214118,183980160,57283200,15163200,5391360,23587200,39181709
2023-10,354240000,13891765,193415040,60220800,15940800,5667840,24796800,41191027
2023-11,380160000,14908235,207567360,64627200,17107200,6082560,26611200,44205005
2023-12,406080000,15924706,221719680,69033600,18273600,6497280,28425600,47218982
2024-01,446200000,17227799,241840400,76746400,20079000,7139200,31234000,52562360
2024-02,412250000,15916988,223439500,70907000,18551250,6596000,28857500,48563050
2024-03,388000000,14980695,210296000,66736000,17460000,6208000,27160000,45706400
2024-04,412250000,15916988,223439500,70907000,18551250,6596000,28857500,48563050
2024-05,378300000,14606178,205038600,65067600,17023500,6052800,26481000,44563740
2024-06,388000000,14980695,210296000,66736000,17460000,6208000,27160000,45706400
2024-07,378300000,14606178,205038600,65067600,17023500,6052800,26481000,44563740
2024-08,388000000,14980695,210296000,66736000,17460000,6208000,27160000,45706400
2024-09,378300000,14606178,205038600,65067600,17023500,6052800,26481000,44563740
2024-10,397700000,15355212,215553400,68404400,17896500,6363200,27839000,46849060
2024-11,426800000,16478764,231325600,73409600,19206000,6828800,29876000,50277040
2024-12,455900000,17602317,247097800,78414800,20515500,7294400,31913000,53705020
