Month,Revenue,Units,COGS,Opex Selling,Opex Distribution,Opex Admin,Opex Other,Net Profit
2023-01,155000000,1987179,176700000,5890000,6975000,9610000,1860000,-46035000
2023-02,148000000,1922078,171680000,5624000,6660000,9176000,1776000,-46916000
2023-03,143000000,1881579,167310000,5434000,6435000,8866000,91716000,-136761000
2023-04,150000000,1973684,169500000,5700000,6750000,9300000,1800000,-43050000
2023-05,158000000,2051948,173800000,6004000,7110000,9796000,1896000,-40606000
2023-06,162000000,2076923,174960000,6156000,7290000,10044000,181944000,-218394000
2023-07,168000000,2126582,178080000,6384000,7560000,10416000,2016000,-36456000
2023-08,160000000,2025316,171200000,6080000,7200000,9920000,1920000,-36320000
2023-09,172000000,2150000,178880000,6536000,7740000,10664000,2064000,-33884000
2023-10,178000000,2197531,181560000,6764000,8010000,11036000,2136000,-31506000
2023-11,175000000,2134146,178500000,6650000,7875000,10850000,152100000,-180975000
2023-12,183000000,2204819,183000000,6954000,8235000,11346000,2196000,-28731000
2024-01,188000000,2238095,186120000,7144000,8460000,11656000,2256000,-27636000
2024-02,182000000,2166667,180180000,6916000,8190000,11284000,2184000,-26754000
2024-03,195000000,2294118,189150000,7410000,8775000,12090000,62340000,-84765000
2024-04,201000000,2337209,192960000,7638000,9045000,12462000,2412000,-23517000
2024-05,198000000,2302326,190080000,7524000,8910000,12276000,2376000,-23166000
2024-06,208000000,2390805,197600000,7904000,9360000,12896000,2496000,-22256000
2024-07,215000000,2443182,202100000,8170000,9675000,13330000,2580000,-20855000
2024-08,210000000,2359551,197400000,7980000,9450000,13020000,2520000,-20370000
2024-09,222000000,2466667,206460000,8436000,9990000,13764000,2664000,-19314000
2024-10,228000000,2533333,209760000,8664000,10260000,14136000,2736000,-17556000
2024-11,225000000,2472527,207000000,8550000,10125000,13950000,2700000,-17325000
2024-12,235000000,2554348,213850000,8930000,10575000,14570000,2820000,-15745000
