Month,Revenue,Units,COGS,Opex Selling,Opex Marketing,Opex Admin,Opex Other,Net Profit
2025-01,412000,10300,247200,58000,31000,74000,9000,-7200
2025-02,388000,9900,236000,56000,29000,74000,8000,-15000
2025-03,455000,11200,273000,60000,34000,75000,9000,4000
2025-04,478000,11600,281000,61000,36000,75000,10000,15000
2025-05,441000,10800,266000,59000,33000,75000,9000,-1000
2025-06,502000,12000,294000,62000,38000,76000,10000,22000
2025-07,519000,12200,301000,63000,39000,76000,10000,30000
2025-08,538000,12500,309000,64000,41000,76000,11000,37000
2025-09,551000,12600,316000,63000,40000,76000,10000,46000
2025-10,566000,12800,321000,64000,42000,77000,11000,51000
2025-11,572000,12900,328000,65000,43000,77000,11000,48000
2025-12,612000,13400,344000,66000,45000,77000,12000,68000
